session,participant_id,bug,start,end,region1_percent,region1_gaze_count,region1_name,region1_topleft,region1_bottomright,region2_percent,region2_gaze_count,region2_name,region2_topleft,region2_bottomright,region3_percent,region3_gaze_count,region3_name,region3_topleft,region3_bottomright,region4_percent,region4_gaze_count,region4_name,region4_topleft,region4_bottomright,Note,out_of_bounds,no_x_y,total_gazes
p7_praying_mantis,p7,praying_mantis,start,end,2%,5634,fileExplorer,"(0,70)","-4,901,080",40%,103578,code_report,"(490,70)","-1,920,755",1%,1630,iTrace,"-490,755","-19,201,080",0%,,,,,,554,147436,258832
p7_stonefly,p7,stonefly,start,end,3%,6360,fileExplorer,"(0,70)","-4,901,080",66%,124549,code_report,"(490,70)","-1,920,755",1%,1237,iTrace,"-490,755","-19,201,080",0%,,,,,,767,54640,187553
p7 total AI ,0.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p8_firefly,p8,firefly,start,end,4%,9370,fileExplorer,"(0,70)","-4,901,080",88%,193061,code_report,"(490,70)","-1,920,755",0%,471,AI,"-490,755","-19,201,080",0%,,,,,,4251,12703,219856
p8_hornet,p8,hornet,start,end,2%,4454,fileExplorer,"(0,70)","-4,901,080",84%,205060,code_report,"(490,70)","-1,920,760",6%,13670,AI,"-490,760","-19,201,080",0%,,,,,,604,20479,244267
p8_ladybug,p8,ladybug,start,end,5%,5818,fileExplorer,"(0,70)","-4,901,080",88%,113201,code_report,"(490,70)","-1,920,755",0%,516,AI,"-490,755","-19,201,080",0%,,,,,,187,8658,128380
p8_ladybug,p8,stonefly,start,end,5%,5818,fileExplorer,"(0,70)","-4,901,080",88%,113201,code_report,"(490,70)","-1,920,755",0%,516,iTrace,"-490,755","-19,201,080",0%,,,,,,187,8658,128380
p8 total AI ,2.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p9_hornet,p9,hornet,start,end,15%,41738,fileExplorer,"(0,70)","-4,901,080",72%,195042,code_report,"(490,70)","-1,920,755",5%,12370,iTrace,"-490,755","-19,201,080",0%,,,,,,584,22385,272119
p9_ladybug,p9,ladybug,start,end,12%,22337,fileExplorer,"(0,70)","-4,901,080",71%,134765,code_report,"(490,70)","-1,920,755",8%,14932,AI,"-490,755","-19,201,080",0%,,,,,,625,18374,191033
p9_stonefly,p9,stonefly,start,end,4%,10609,fileExplorer,"(0,70)","-4,901,080",86%,215011,code_report,"(490,70)","-1,920,755",1%,1269,iTrace,"-490,755","-19,201,080",0%,,,,,,276,23220,250385
,2.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,
p10_firefly,p10,firefly,start,end,12%,18043,fileExplorer,"(0,70)","-470,715",55%,85605,code,"(470,70)","-1,920,525",10%,15168,report,"-470,525","-1,920,715",3%,4645,iTrace,"(0,715)","-19,201,080",,7735,23142,154338
p10_hornet,p10,hornet,start,4:00,14%,4080,fileExplorer,"(0,70)","-470,750",74%,21297,code_report,"(470,70)","-1,920,750",1%,360,AI,"-470,750","-19,201,080",0%,,,,,,1504,1561,28802
p10_hornet,p10,hornet,4:00,end,5%,8794,fileExplorer,"(0,70)","-470,723",72%,127717,code,"(470,70)","-1,920,539",9%,16265,report,"-470,539","-1,920,723",4%,6837,AI,"(0,723)","-19,201,080",,469,16655,176737
p10_ladybug,p10,ladybug,start,end,9%,10630,fileExplorer,"(0,70)","-470,760",80%,99141,code,"(470,70)","-1,920,625",3%,3300,report,"-470,625","-1,920,760",3%,3394,AI,"(0,760)","-19,201,080",,564,7126,124155
p10_ladybug_2,p10,ladybug,start,4:39,1%,245,fileExplorer,"(0,70)","-470,576",43%,14537,code,"(470,70)","-1,920,318",41%,13569,report,"-470,318","-1,920,576",2%,788,iTrace,"(0,576)","-19,201,080",,149,4194,33482
p10_ladybug_2,p10,ladybug,4:39,end,1%,288,fileExplorer,"(0,70)","-470,576",51%,19100,code,"(470,70)","-1,920,386",26%,9863,report,"-470,386","-1,920,576",8%,3158,iTrace,"(0,576)","-19,201,080",,254,4609,37272
p10_stonefly,p10,stonefly,start,9:27,6%,3901,fileExplorer,"(0,70)","-470,760",86%,58774,code,"(470,70)","-1,920,630",1%,601,report,"-470,630","-1,920,760",1%,907,iTrace,"(0,760)","-19,201,080",,459,3399,68041
p10_stonefly,p10,stonefly,9:27,end,1%,900,fileExplorer,"(0,70)","-470,750",71%,79291,code,"(470,70)","-1,920,515",13%,14846,report,"-470,515","-1,920,750",2%,2670,iTrace,"(0,750)","-19,201,080",,717,13426,111850
,1.442%,,,,,,,,,,,,,,,,,,,,,,,,,,,
p11_firefly,p11,firefly,start,end,20%,44893,fileExplorer,"(0,70)","-605,820",76%,168116,code_report,"(605,70)","-1,920,820",0%,258,iTrace,"(0,820)","-19,201,080",0%,,,,,,365,6831,220463
p11_ladybug,p11,ladybug,start,3:12,#DIV/0!,0,fileExplorer,"(0,70)","-470,825",#DIV/0!,0,code_report,"(470,70)","-1,920,825",#DIV/0!,0,iTrace,"(0,825)","-19,201,080",#DIV/0!,,,,,,,,
p11_ladybug,p11,ladybug,3:12,7:35,#DIV/0!,0,fileExplorer,"(0,70)","-572,825",#DIV/0!,0,code_report,"(572,70)","-1,920,825",#DIV/0!,0,iTrace,"(0,825)","-19,201,080",#DIV/0!,,,,,,,,
p11_ladybug,p11,ladybug,7:35,15:30,#DIV/0!,0,fileExplorer_code,"(0,70)","-719,825",#DIV/0!,0,code_report,"(719,70)","-1,920,825",#DIV/0!,0,iTrace,"(0,825)","-19,201,080",#DIV/0!,,,,,,,,
p11_ladybug,p11,ladybug,15:30,end,#DIV/0!,0,fileExplorer,"(0,70)","-606,825",#DIV/0!,0,code_report,"(606,70)","-1,920,825",#DIV/0!,0,iTrace,"(0,825)","-19,201,080",#DIV/0!,,,,,,,,
p11_stonefly,p11,stonefly,start,end,14%,24777,fileExplorer_code,"(0,70)","-740,825",77%,133245,code_report,"(740,70)","-1,920,825",0%,789,iTrace,"(0,825)","-19,201,080",0%,,,,,,309,13440,172560
p11_weevil,p11,weevil,start,end,39%,27797,fileExplorer,"(0,70)","-650,825",55%,39463,code_report,"(650,70)","-1,920,825",0%,125,iTrace,"(0,825)","-19,201,080",0%,,,,,,238,3534,71157
p11_weevil_2,p11,weevil,start,end,12%,16704,fileExplorer,"(0,70)","-650,825",80%,108791,code_report,"(650,70)","-1,920,825",0%,533,iTrace,"(0,825)","-19,201,080",0%,,,,,,239,9720,135987
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
